gene	cluster
FOXD2	K1
SPATA6	K5
FAF1	K3
CDKN2C	K4
RP11-296A18.3	K5
RNF11	K5
TTC39A	K5
EPS15	K3
RP11-191G24.1	K2
OSBPL9	K2
NRD1	K3
RP4-657D16.3	K1
TXNDC12	K2
KTI12	K3
BTF3L4	K3
ZFYVE9	K2
CC2D1B	K2
ORC1	K3
PRPF38A	K3
ZCCHC11	K2
GPX7	K1
COA7	K2
ECHDC2	K1
SCP2	K3
CPT2	K2
C1orf123	K3
MAGOH	K3
RP5-1024G6.8	K1
LRP8	K2
RP4-784A16.4	K1
NDC1	K3
YIPF1	K2
DIO1	K4
HSPB11	K3
LRRC42	K3
RP4-758J24.5	K5
TMEM59	K5
TCEANC2	K3
AL357673.1	K3
CYB5RL	K3
MRPL37	K3
SSBP3	K4
SSBP3-AS1	K4
RP5-997D24.3	K4
ACOT11	K1
MROH7	K1
TTC4	K2
PARS2	K2
DHCR24	K2
RP11-67L3.4	K2
PCSK9	K2
USP24	K4
PPAP2B	K2
OMA1	K3
JUN	K5
FGGY	K2
HOOK1	K3
NFIA	K4
RP5-833A20.1	K4
TM2D1	K3
INADL	K1
USP1	K3
DOCK7	K3
RP11-230B22.1	K3
ATG4C	K3
ALG6	K3
ITGB3BP	K3
DLEU2L	K4
PGM1	K2
CACHD1	K1
RAVER2	K1
JAK1	K5
RP11-182I10.3	K5
RP4-535B20.4	K5
RP4-535B20.1	K5
AK4	K2
DNAJC6	K5
RP5-1044H5.1	K4
LEPR	K3
LEPROT	K4
SGIP1	K5
TCTEX1D1	K1
WDR78	K3
MIER1	K3
SLC35D1	K2
IL12RB2	K2
SERBP1	K3
GADD45A	K5
DEPDC1	K3
RP4-694A7.2	K4
RP4-694A7.4	K3
LRRC7	K3
LRRC40	K3
SRSF11	K2
ANKRD13C	K4
HHLA3	K3
CTH	K4
RP11-42O15.3	K5
PTGER3	K1
ZRANB2	K3
LRRIQ3	K2
FPGT	K3
CRYZ	K2
TYW3	K2
ACADM	K3
RABGGTB	K2
MSH4	K4
ST6GALNAC3	K3
PIGK	K3
ZZZ3	K2
USP33	K5
FAM73A	K3
NEXN	K1
FUBP1	K3
DNAJB4	K5
GIPC2	K5
RP11-386I14.4	K2
IFI44L	K4
IFI44	K2
TTLL7	K1
RP11-486G15.2	K1
PRKACB	K2
SAMD13	K2
RPF1	K3
GNG5	K3
CTBS	K2
SSX2IP	K3
MCOLN2	K1
WDR63	K2
SYDE2	K2
C1orf52	K5
BCL10	K5
DDAH1	K1
CYR61	K2
ZNHIT6	K2
COL24A1	K1
ODF2L	K3
RP4-612B15.3	K1
SH3GLB1	K5
SEP15	K2
HS2ST1	K2
RP4-604K5.3	K1
LMO4	K1
RP11-76N22.2	K5
PKN2	K5
GTF2B	K5
CCBL2	K2
RBMXL1	K3
GBP3	K3
GBP1	K5
GBP2	K5
GBP4	K1
GBP5	K1
LRRC8B	K3
RP5-1007M22.2	K1
LRRC8C	K2
LRRC8D	K2
ZNF326	K4
ZNF644	K2
HFM1	K1
CDC7	K3
TGFBR3	K1
GLMN	K3
RPAP2	K2
GFI1	K1
RPL5	K3
FAM69A	K2
MTF2	K3
TMED5	K2
CCDC18	K3
DR1	K3
FNBP1L	K5
BCAR3	K5
RP5-1033H22.2	K1
DNTTIP2	K2
GCLM	K4
ABCA4	K4
ABCD3	K3
F3	K1
CNN3	K4
ALG14	K3
TMEM56	K4
TMEM56-RWDD3	K4
RP11-57H12.3	K4
RWDD3	K4
RP11-57H12.5	K4
PTBP2	K3
DPYD	K1
FRRS1	K3
AGL	K3
SLC35A3	K3
HIAT1	K5
SASS6	K3
TRMT13	K3
DBT	K3
RP11-305E17.6	K4
RTCA	K3
CDC14A	K3
EXTL2	K2
DPH5	K2
RP11-421L21.3	K2
S1PR1	K1
RNPC3	K1
AMY2B	K1
PRMT6	K3
VAV3	K1
SLC25A24	K1
FAM102B	K2
HENMT1	K2
PRPF38B	K2
FNDC7	K5
STXBP3	K5
AKNAD1	K5
GPSM2	K3
CLCC1	K3
WDR47	K2
TAF13	K3
RP5-1065J22.8	K1
TMEM167B	K5
SCARNA2	K1
C1orf194	K5
KIAA1324	K5
SARS	K5
CELSR2	K2
PSRC1	K3
SORT1	K1
PSMA5	K3
ATXN7L2	K2
CYB561D1	K2
AMIGO1	K2
GPR61	K1
GNAI3	K2
RP5-1160K1.3	K5
GNAT2	K5
AMPD2	K2
GSTM4	K2
GSTM2	K2
GSTM1	K2
GSTM5	K1
GSTM3	K2
CSF1	K2
STRIP1	K2
RP4-773N10.4	K5
KCNC4	K1
RBM15	K3
SLC16A4	K4
RP5-1074L1.4	K3
LAMTOR5-AS1	K4
LAMTOR5	K5
KCNA3	K1
CD53	K2
RP11-96K19.2	K5
LRIF1	K4
RP11-96K19.5	K5
DRAM2	K2
CEPT1	K5
DENND2D	K2
CHI3L2	K2
PIFO	K2
OVGP1	K1
WDR77	K2
ATP5F1	K3
C1orf162	K1
ADORA3	K1
RAP1A	K4
FAM212B	K2
DDX20	K2
CTTNBP2NL	K2
WNT2B	K3
ST7L	K3
CAPZA1	K3
MOV10	K3
RHOC	K2
SLC16A1	K5
SLC16A1-AS1	K2
LRIG2	K3
MAGI3	K1
PHTF1	K3
RSBN1	K5
PTPN22	K2
AP4B1-AS1	K3
BCL2L15	K3
AP4B1	K3
DCLRE1B	K3
RP5-1073O3.7	K4
HIPK1	K4
OLFML3	K5
TRIM33	K4
BCAS2	K3
DENND2C	K1
NRAS	K3
CSDE1	K5
SIKE1	K3
TSPAN2	K1
VANGL1	K3
SLC22A15	K1
MAB21L3	K4
ATP1A1	K3
RP4-655J12.4	K4
RP5-1086K13.1	K4
CD58	K3
IGSF3	K3
PTGFRN	K1
CD101	K1
TTF2	K3
TRIM45	K3
VTCN1	K4
MAN1A2	K2
FAM46C	K5
GDAP2	K3
WDR3	K2
WARS2	K3
RP11-418J17.1	K3
ZNF697	K2
PHGDH	K1
NOTCH2	K2
FAM72B	K3
RP11-343N15.5	K4
RP11-782C8.2	K4
RP11-782C8.1	K5
RP6-206I17.1	K1
RP6-206I17.2	K1
FAM72D	K3
NBPF9	K1
PDE4DIP	K5
AL590452.1	K1
NOTCH2NL	K3
NBPF10	K3
TXNIP	K5
POLR3GL	K3
ANKRD34A	K1
RP11-315I20.1	K1
LIX1L	K2
RBM8A	K2
PEX11B	K2
ITGA10	K5
ANKRD35	K1
PIAS3	K2
NUDT17	K1
POLR3C	K4
RNF115	K4
CD160	K5
PDZK1	K4
GPR89A	K3
GPR89C	K4
NBPF12	K3
PRKAB2	K5
RP11-337C18.8	K2
FMO5	K1
CHD1L	K3
BCL9	K1
ACP6	K2
GPR89B	K4
RP11-495P10.8	K1
NBPF14	K1
NBPF20	K2
NBPF15	K1
RP11-14N7.2	K2
LINC00869	K1
RP11-403I13.8	K1
FAM72C	K3
RP11-277L2.3	K1
RP11-353N4.4	K1
FCGR1A	K1
HIST2H2BF	K3
RP11-196G18.3	K5
RP11-196G18.24	K4
HIST2H2BE	K5
HIST2H2AC	K3
HIST2H2AB	K3
BOLA1	K3
SV2A	K1
SF3B4	K3
MTMR11	K5
OTUD7B	K5
VPS45	K3
PLEKHO1	K1
ANP32E	K3
APH1A	K2
C1orf54	K1
C1orf51	K5
MRPS21	K2
PRPF3	K2
RPRD2	K3
TARS2	K3
ECM1	K1
RP11-54A4.2	K4
ADAMTSL4	K1
ADAMTSL4-AS1	K4
MCL1	K4
ENSA	K3
GOLPH3L	K3
CTSS	K1
CTSK	K1
ARNT	K3
SETDB1	K3
CERS2	K3
ANXA9	K2
FAM63A	K1
PRUNE	K2
BNIPL	K1
C1orf56	K3
CDC42SE1	K2
MLLT11	K1
GABPB2	K3
SEMA6C	K2
TNFAIP8L2	K2
SCNM1	K2
LYSMD1	K3
VPS72	K3
PIP5K1A	K2
PSMD4	K2
RP11-126K1.2	K1
ZNF687	K3
PI4KB	K5
RFX5	K3
RP11-126K1.6	K1
SELENBP1	K4
PSMB4	K3
POGZ	K3
CGN	K1
TUFT1	K5
SNX27	K2
CELF3	K4
MRPL9	K3
OAZ3	K3
TDRKH	K3
RP11-98D18.9	K3
THEM5	K5
THEM4	K2
S100A10	K5
S100A11	K2
HRNR	K1
S100A8	K1
BX470102.3	K2
S100A6	K2
S100A4	K2
S100A3	K3
S100A2	K2
S100A16	K2
S100A13	K1
CHTOP	K2
ILF2	K3
INTS3	K3
SLC27A3	K1
GATAD2B	K1
DENND4B	K3
CRTC2	K5
SLC39A1	K3
RP11-422P24.10	K1
CREB3L4	K2
JTB	K1
RP11-422P24.11	K3
RAB13	K3
NUP210L	K2
TPM3	K2
C1orf43	K2
UBAP2L	K2
HAX1	K3
AQP10	K2
ATP8B2	K1
IL6R	K1
UBE2Q1	K1
CHRNB2	K1
ADAR	K1
KCNN3	K5
PMVK	K2
PBXIP1	K1
SHC1	K5
CKS1B	K3
FLAD1	K2
ZBTB7B	K1
DCST2	K5
RP11-307C12.11	K2
ADAM15	K3
EFNA4	K1
EFNA3	K2
EFNA1	K4
SLC50A1	K4
DPM3	K1
KRTCAP2	K3
TRIM46	K1
MUC1	K2
THBS3	K1
MTX1	K2
GBA	K2
FAM189B	K2
SCAMP3	K2
CLK2	K1
HCN3	K3
PKLR	K3
FDPS	K3
RUSC1-AS1	K3
RUSC1	K3
ASH1L	K5
RP11-29H23.4	K1
MSTO1	K2
YY1AP1	K5
DAP3	K3
GON4L	K1
SYT11	K1
RIT1	K5
KIAA0907	K2
RXFP4	K5
ARHGEF2	K5
RP11-336K24.12	K5
SSR2	K2
UBQLN4	K2
LAMTOR2	K2
MEX3A	K2
LMNA	K2
SEMA4A	K1
SLC25A44	K3
PMF1	K3
BGLAP	K1
PAQR6	K5
SMG5	K2
TMEM79	K3
C1orf85	K2
CCT3	K2
MEF2D	K5
IQGAP3	K3
APOA1BP	K2
GPATCH4	K2
RP11-284F21.9	K1
BCAN	K1
RP11-284F21.10	K1
RP11-284F21.7	K1
CRABP2	K5
ISG20L2	K2
RRNAD1	K1
MRPL24	K2
HDGF	K4
PRCC	K2
SH2D2A	K1
NTRK1	K1
PEAR1	K4
LRRC71	K4
ARHGEF11	K1
ETV3	K1
RP11-85G21.1	K4
RP11-85G21.3	K5
FCRL2	K1
FCRL1	K1
CD1D	K2
RP11-404O13.5	K3
SPTA1	K4
OR6K3	K5
MNDA	K1
IFI16	K1
CADM3	K1
CTA-134P22.2	K1
DARC	K4
FCER1A	K1
DUSP23	K2
CCDC19	K1
TAGLN2	K2
LINC01133	K3
PIGM	K3
IGSF8	K2
ATP1A4	K5
CASQ1	K5
RP11-536C5.7	K5
PEA15	K2
DCAF8	K5
RP11-574F21.2	K5
PEX19	K2
COPA	K3
NCSTN	K3
NHLH1	K1
VANGL2	K2
SLAMF6	K1
CD84	K1
SLAMF1	K1
CD48	K1
LY9	K4
CD244	K1
ITLN1	K5
ITLN2	K5
F11R	K4
TSTD1	K1
USF1	K4
ARHGAP30	K1
PVRL4	K2
PFDN2	K2
NIT1	K3
DEDD	K4
UFC1	K2
USP21	K5
PPOX	K4
B4GALT3	K5
ADAMTS4	K4
NDUFS2	K3
FCER1G	K1
TOMM40L	K2
MPZ	K1
SDHC	K3
C1orf192	K3
RP11-122G18.5	K3
FCGR2A	K3
HSPA6	K4
FCGR3A	K3
RP11-5K23.5	K3
FCGR2B	K1
FCGR3B	K4
FCRLB	K3
DUSP12	K3
ATF6	K3
OLFML2B	K5
NOS1AP	K1
C1orf226	K1
UHMK1	K3
UAP1	K2
DDR2	K1
HSD17B7	K2
RP11-267N12.3	K3
NUF2	K3
PBX1	K1
MGST3	K4
ALDH9A1	K3
TMCO1	K3
RP11-466F5.8	K3
UCK2	K3
RP11-525G13.2	K3
POGK	K2
TADA1	K3
POU2F1	K3
CD247	K5
CREG1	K5
RP3-455J7.4	K1
RCSD1	K1
MPZL1	K2
ADCY10	K5
MPC2	K3
DCAF6	K4
GPR161	K2
TIPRL	K3
SFT2D2	K3
TBX19	K1
ATP1B1	K1
NME7	K2
BLZF1	K3
CCDC181	K1
SLC19A2	K2
F5	K1
SELP	K1
C1orf112	K3
SELL	K1
METTL18	K3
SCYL3	K3
KIFAP3	K3
GORAB	K2
FMO4	K3
PRRC2C	K2
VAMP4	K2
METTL13	K3
DNM3	K1
PIGC	K3
C1orf105	K4
SUCO	K4
RP1-15D23.2	K5
RP3-471M13.2	K4
TNFSF18	K5
TNFSF4	K1
RP11-296O14.3	K3
PRDX6	K4
KLHL20	K3
CENPL	K3
DARS2	K3
GAS5-AS1	K2
ZBTB37	K3
RC3H1	K5
RP11-160H22.5	K5
RABGAP1L	K4
GPR52	K4
RP1-102G20.5	K4
CACYBP	K2
MRPS14	K2
KIAA0040	K2
RFWD2	K3
SEC16B	K1
RASAL2	K2
RALGPS2	K3
ANGPTL1	K4
FAM20B	K4
ABL2	K2
SOAT1	K2
RP11-12M5.4	K5
TOR1AIP2	K5
RP11-533E19.7	K5
TOR1AIP1	K2
CEP350	K3
QSOX1	K2
LHX4	K2
RP5-1180C10.2	K2
ACBD6	K3
XPR1	K5
RP11-46A10.2	K5
KIAA1614	K5
RP11-46A10.5	K5
AL162431.1	K4
STX6	K1
MR1	K4
IER5	K5
RP11-309G3.3	K4
RP11-540K16.1	K5
GLUL	K5
TEDDM1	K5
RNASEL	K3
RGS16	K5
NPL	K4
DHX9	K3
LAMC1	K2
SMG7	K3
NCF2	K1
ARPC5	K3
COLGALT2	K1
TSEN15	K3
C1orf21	K2
EDEM3	K1
FAM129A	K3
RNF2	K3
TRMT1L	K4
SWT1	K4
IVNS1ABP	K3
HMCN1	K5
PRG4	K5
TPR	K3
OCLM	K4
PTGS2	K1
RP5-973M2.2	K1
PLA2G4A	K2
LINC01036	K4
LINC01037	K3
RGS18	K1
RGS2	K1
UCHL5	K3
TROVE2	K4
RP11-101E13.5	K4
GLRX2	K2
CDC73	K4
B3GALT2	K4
KCNT2	K4
CFH	K1
ASPM	K3
ZBTB41	K2
CRB1	K4
DENND1B	K1
C1orf53	K2
NEK7	K5
PTPRC	K2
MIR181A1HG	K2
ZNF281	K3
KIF14	K3
DDX59	K4
KIF21B	K1
PKP1	K4
RP11-134G8.8	K2
PHLDA3	K2
CSRP1	K2
RP11-134G8.7	K2
RPS10P7	K2
NAV1	K1
IPO9	K3
SHISA4	K5
RP11-307B6.3	K5
LMOD1	K5
TIMM17A	K2
RNPEP	K1
RP11-465N4.5	K1
RP11-465N4.4	K1
ELF3	K5
GPR37L1	K1
ARL8A	K1
PTPN7	K3
LGR6	K2
UBE2T	K3
PPP1R12B	K3
SYT2	K1
KDM5B	K5
PCAT6	K1
RP11-480I12.7	K1
RABIF	K2
KLHL12	K3
ADIPOR1	K5
CYB5R1	K4
TMEM183A	K5
PPFIA4	K5
RP11-134P9.3	K1
LINC01136	K5
BTG2	K5
FMOD	K1
ATP2B4	K2
LAX1	K1
ZC3H11A	K1
ZBED6	K5
SNRPE	K2
SOX13	K1
PLEKHA6	K5
PPP1R15B	K4
PIK3C2B	K1
MDM4	K3
RP11-430C7.4	K4
LRRN2	K4
RP11-430C7.5	K4
RP11-23I7.1	K4
CNTN2	K5
TMEM81	K1
RBBP5	K3
DSTYK	K4
TMCC2	K5
RP11-383G10.5	K5
NUAK2	K5
KLHDC8A	K5
CDK18	K1
MFSD4	K1
ELK4	K3
SLC45A3	K1
NUCKS1	K3
RAB7L1	K2
SLC41A1	K2
SLC26A9	K5
RP11-312O7.2	K4
FAM72A	K3
RP11-38J22.3	K4
C1orf186	K1
RP11-38J22.6	K1
CTSE	K3
SRGAP2	K4
IKBKE	K2
C1orf147	K1
RASSF5	K2
EIF2D	K3
DYRK3	K5
MAPKAPK2	K1
C1orf116	K5
YOD1	K5
PFKFB2	K5
CD55	K5
CR2	K5
CR1	K4
RP11-78B10.2	K4
CR1L	K4
CD46	K3
CD34	K1
PLXNA2	K5
LAMB3	K5
G0S2	K2
TRAF3IP3	K1
C1orf74	K3
IRF6	K2
DIEXF	K2
HHAT	K1
RCOR3	K5
TRAF5	K1
SLC30A1	K5
NEK2	K3
LPGAT1	K2
INTS7	K3
DTL	K3
PPP2R5A	K1
TMEM206	K2
NENF	K1
RP11-61J19.4	K5
ATF3	K5
BATF3	K1
NSL1	K3
TATDN3	K4
FLVCR1-AS1	K2
FLVCR1	K2
VASH2	K1
ANGEL2	K3
RPS6KC1	K2
SMYD2	K2
PTPN14	K5
CENPF	K3
KCTD3	K3
GPATCH2	K3
RP11-361K17.2	K1
RRP15	K3
LYPLAL1	K4
RP11-135J2.3	K4
SLC30A10	K4
EPRS	K3
BPNT1	K2
IARS2	K2
RAB3GAP2	K3
C1orf115	K4
MARC1	K1
HLX	K1
DUSP10	K1
HHIPL2	K1
TAF1A	K2
RP11-378J18.3	K2
MIA3	K2
RP11-378J18.8	K3
AIDA	K4
BROX	K5
FAM177B	K5
RP11-452F19.3	K2
DISP1	K2
TLR5	K2
CAPN2	K3
TP53BP2	K3
RP11-504P24.8	K4
RP11-504P24.4	K3
FBXO28	K3
DEGS1	K3
NVL	K3
CNIH4	K3
WDR26	K5
CNIH3	K5
DNAH14	K2
LBR	K3
AC092811.1	K4
ENAH	K1
SRP9	K3
EPHX1	K2
RP11-285F7.2	K1
TMEM63A	K3
PYCR2	K4
LEFTY2	K5
SDE2	K5
RP11-396C23.4	K4
H3F3A	K4
LIN9	K3
PARP1	K3
ITPKB	K3
PSEN2	K2
ADCK3	K2
CDC42BPA	K3
RP11-1B20.1	K3
ZNF678	K3
SNAP47	K3
JMJD4	K2
ARF1	K5
C1orf35	K3
MRPL55	K2
GUK1	K5
GJC2	K5
IBA57-AS1	K5
IBA57	K5
C1orf145	K5
OBSCN	K1
TRIM11	K1
TRIM17	K3
HIST3H2A	K5
HIST3H2BB	K5
RNF187	K4
RHOU	K1
RAB4A	K2
CCSAP	K3
NUP133	K3
ABCB10	K4
TAF5L	K3
URB2	K2
GALNT2	K2
