gene	cluster
ADCK5	K5
ADCY1	K2
ADCY10	K7
ADCY3	K2
ADCY4	K1
ADCY5	K6
ADCY6	K3
ADCY7	K5
ADCY9	K1
ADD1	K2
ADD2	K5
ADD3	K2
ADH5	K4
ADHFE1	K3
ADI1	K4
ADIPOQ-AS1	K6
ADIPOR1	K7
ADIPOR2	K4
ADK	K4
ADM	K6
ADM2	K6
ADM5	K3
ADNP	K2
ADNP2	K1
ADO	K2
ADORA2B	K4
ADORA3	K3
ADPGK	K4
ADPGK-AS1	K3
ADPRH	K2
ADPRHL1	K3
ADPRHL2	K6
ADPRM	K2
ADRA2A	K1
ADRB2	K3
ADRBK1	K4
ADRBK2	K2
ADRM1	K6
ADSL	K4
ADSS	K4
ADSSL1	K7
AE000661.50	K3
AEBP1	K1
AEBP2	K2
AEN	K6
AES	K6
AF001548.5	K7
AF001548.6	K1
AF127936.7	K1
AF131215.5	K2
AF131216.5	K6
AF131216.6	K1
AF146191.4	K1
AF196970.3	K6
AF230666.2	K3
AFAP1	K3
AFAP1L1	K1
AFF1	K1
AFF2	K1
AFF4	K1
AFG3L2	K4
AFMID	K4
AFTPH	K1
AGA	K4
AGAP1	K4
AGAP2	K2
AGAP3	K4
AGAP5	K6
AGAP6	K6
AGAP7	K6
AGAP8	K5
AGBL2	K4
AGBL3	K2
AGBL5	K2
AGER	K5
AGFG1	K1
AGFG2	K4
AGGF1	K4
AGK	K2
AGL	K2
AGMAT	K2
AGO1	K2
AGO2	K1
AGO3	K2
AGO4	K2
AGPAT1	K5
AGPAT2	K3
AGPAT3	K5
AGPAT4	K7
AGPAT5	K4
AGPAT6	K4
AGPAT9	K3
AGPS	K2
AGRN	K5
AGRP	K3
AGTPBP1	K7
AGTR1	K2
AGTRAP	K5
AHCTF1	K2
AHCY	K4
AHCYL2	K1
AHDC1	K1
AHI1	K2
AHNAK	K1
AHNAK2	K1
AHR	K1
AHRR	K3
AHSA1	K5
AHSA2	K4
AHSP	K6
AIDA	K1
AIF1	K1
AIF1L	K1
AIFM1	K4
AIFM2	K6
AIFM3	K3
AIG1	K2
AIM1	K1
AIM1L	K3
AIMP1	K4
AIMP2	K5
AIP	K4
AIRN	K6
AJUBA	K1
AK1	K6
AK2	K4
AK3	K4
AK4	K2
AK7	K6
AK8	K5
AK9	K2
AKAP1	K2
AKAP10	K2
AKAP11	K2
AKAP13	K1
AKAP17A	K1
AKAP2	K3
AKAP3	K2
AKAP4	K7
AKAP5	K1
AKAP7	K2
AKAP8	K4
AKAP8L	K7
AKAP9	K1
AKIP1	K5
AKIRIN1	K2
AKIRIN2	K7
AKNA	K1
AKNAD1	K1
AKR1A1	K4
AKR1B1	K2
AKR1C1	K7
AKR1C3	K4
AKR1E2	K1
AKR7A2	K4
AKR7A3	K4
AKT1	K4
AKT1S1	K7
AKT2	K2
AKT3	K1
AKTIP	K1
AL022341.3	K6
AL031666.2	K6
AL122127.25	K3
AL136115.1	K2
AL158147.2	K7
AL160175.1	K7
AL162431.1	K6
AL163953.3	K3
AL354808.2	K3
AL357673.1	K2
AL360004.1	K5
AL365202.1	K7
AL590452.1	K1
AL591025.1	K1
AL627171.2	K1
AL627309.1	K6
AL645728.1	K2
ALAD	K6
ALAS1	K3
ALAS2	K6
ALB	K3
ALCAM	K1
ALDH16A1	K5
ALDH18A1	K4
ALDH1A1	K2
ALDH1A2	K3
ALDH1B1	K4
ALDH1L2	K1
ALDH2	K1
ALDH3A2	K2
ALDH3B1	K6
ALDH4A1	K5
ALDH5A1	K1
ALDH6A1	K4
ALDH7A1	K1
ALDH8A1	K7
ALDH9A1	K4
ALDOA	K5
ALDOC	K5
ALG1	K5
ALG10	K2
ALG10B	K2
ALG11	K5
ALG12	K5
ALG13	K1
ALG14	K5
ALG1L	K2
ALG2	K4
ALG3	K4
ALG5	K4
ALG6	K4
ALG8	K4
ALG9	K4
ALK	K1
ALKBH2	K4
ALKBH3	K4
ALKBH3-AS1	K2
ALKBH4	K5
ALKBH5	K1
ALKBH6	K6
ALKBH7	K5
ALKBH8	K2
ALMS1	K2
ALOX12	K3
ALOX12B	K1
ALOX15B	K1
ALOX5	K3
ALOX5AP	K3
ALOXE3	K7
ALPK1	K2
ALPK3	K1
ALPL	K6
ALS2	K3
ALS2CL	K1
ALS2CR11	K7
ALS2CR12	K7
ALYREF	K2
AMACR	K2
AMBRA1	K7
AMD1	K2
AMDHD1	K3
AMDHD2	K6
AMER1	K2
AMFR	K7
AMH	K3
AMHR2	K5
AMICA1	K1
AMIGO1	K1
AMIGO2	K5
AMMECR1	K5
AMMECR1L	K3
AMN1	K2
AMOT	K1
AMOTL1	K2
AMPD2	K4
AMPD3	K1
AMT	K4
AMY2B	K1
AMZ1	K1
AMZ2	K4
ANAPC1	K2
ANAPC10	K4
ANAPC11	K5
ANAPC13	K4
ANAPC15	K4
ANAPC16	K6
ANAPC2	K6
ANAPC4	K4
ANAPC5	K4
ANAPC7	K4
ANGEL1	K2
ANGEL2	K4
ANGPT1	K1
ANGPT2	K2
ANGPTL1	K1
ANGPTL6	K1
ANGPTL7	K2
ANK1	K6
ANKAR	K2
ANKDD1A	K2
ANKDD1B	K4
ANKEF1	K2
ANKFY1	K4
ANKH	K1
ANKHD1	K1
ANKHD1-EIF4EBP3	K1
ANKIB1	K2
ANKLE1	K6
ANKLE2	K2
ANKMY1	K5
ANKMY2	K4
ANKRA2	K6
ANKRD10	K4
ANKRD11	K2
ANKRD12	K7
ANKRD13A	K1
ANKRD13B	K2
ANKRD13C	K6
ANKRD13D	K3
ANKRD16	K2
ANKRD17	K2
ANKRD18A	K3
ANKRD18B	K6
ANKRD2	K5
ANKRD22	K3
ANKRD23	K3
ANKRD26	K2
ANKRD27	K5
ANKRD28	K2
ANKRD32	K4
ANKRD33	K7
ANKRD33B	K1
ANKRD34A	K3
ANKRD35	K3
ANKRD36	K2
ANKRD36C	K2
ANKRD37	K2
ANKRD39	K4
ANKRD40	K2
ANKRD42	K2
ANKRD44	K2
ANKRD46	K2
ANKRD49	K5
ANKRD50	K2
ANKRD52	K5
ANKRD53	K7
ANKRD54	K5
ANKRD55	K6
ANKRD6	K1
ANKRD61	K1
ANKRD9	K7
ANKS1A	K2
ANKS3	K4
ANKS6	K1
ANKZF1	K6
ANLN	K4
ANO10	K4
ANO5	K4
ANO6	K2
ANO7	K3
ANO8	K1
ANO9	K3
ANP32A	K2
ANP32B	K7
ANP32E	K4
ANPEP	K1
ANTXR2	K1
ANXA1	K1
ANXA11	K2
ANXA2	K3
ANXA2R	K2
ANXA3	K3
ANXA4	K2
ANXA5	K2
ANXA6	K1
ANXA7	K7
ANXA9	K4
AOAH	K1
AOC1	K3
AOC2	K7
AOC3	K6
AP000253.1	K6
AP000254.8	K7
AP000476.1	K1
AP000487.5	K5
AP000692.10	K6
AP000695.1	K7
AP000695.4	K7
AP000695.6	K7
AP000769.1	K7
AP001053.11	K3
AP001055.6	K3
AP001062.7	K3
AP001171.1	K1
AP001258.4	K2
AP001347.6	K4
AP001372.2	K1
AP001412.1	K5
AP001468.1	K6
AP001469.5	K7
AP001469.7	K3
AP001469.9	K4
AP001816.1	K7
AP001885.1	K6
AP003068.23	K1
AP003733.1	K7
AP003774.1	K3
AP006222.2	K1
AP006621.5	K3
AP1AR	K2
AP1B1	K5
AP1G1	K2
AP1G2	K5
AP1M1	K5
AP1S1	K5
AP1S2	K2
AP1S3	K2
AP2A1	K6
AP2A2	K4
AP2B1	K4
AP2M1	K6
AP2S1	K6
AP3B1	K2
AP3B2	K7
AP3D1	K3
AP3M1	K2
AP3M2	K4
AP3S1	K4
AP3S2	K2
AP4B1	K5
AP4B1-AS1	K5
AP4E1	K2
AP4M1	K5
AP4S1	K1
AP5B1	K5
AP5M1	K4
AP5S1	K5
AP5Z1	K6
APAF1	K2
APBA2	K4
APBA3	K6
APBB1	K1
APBB1IP	K2
APBB3	K5
APC	K2
APC2	K6
APEH	K5
APEX1	K2
APEX2	K5
APH1A	K5
APH1B	K2
API5	K4
APIP	K4
APITD1	K4
APLF	K1
APLNR	K6
APLP2	K2
APMAP	K4
APOA1	K3
APOA1-AS	K7
APOA1BP	K4
APOBEC2	K6
APOBEC3A	K6
APOBEC3B	K5
APOBEC3C	K5
APOBEC3D	K2
APOBEC3F	K2
APOBEC3G	K4
APOBEC3H	K5
APOBR	K3
APOC1	K5
APOE	K5
APOL1	K5
APOL2	K6
APOL3	K7
APOL4	K5
APOL6	K2
APOLD1	K7
APOM	K5
APOO	K4
APOOL	K2
APOPT1	K5
APP	K2
APPBP2	K1
APPL1	K1
APPL2	K1
APRT	K4
APTX	K5
AQP1	K6
AQP11	K2
AQP2	K3
AQP3	K6
AQR	K4
ARAF	K5
ARAP1	K6
ARAP1-AS2	K3
ARAP2	K1
ARAP3	K3
ARCN1	K2
AREL1	K4
ARF1	K6
ARF3	K2
ARF4	K6
ARF5	K6
ARF6	K1
ARFGAP1	K6
ARFGAP2	K6
ARFGAP3	K4
ARFGEF1	K2
ARFGEF2	K1
ARFIP1	K5
ARFIP2	K5
ARFRP1	K6
ARG1	K7
ARG2	K7
ARGLU1	K5
ARHGAP1	K2
ARHGAP10	K2
ARHGAP11A	K4
ARHGAP11B	K5
ARHGAP12	K2
ARHGAP15	K2
ARHGAP17	K2
ARHGAP18	K4
ARHGAP19	K4
ARHGAP21	K1
ARHGAP22	K2
ARHGAP23	K1
ARHGAP25	K2
ARHGAP26	K2
ARHGAP27	K7
ARHGAP30	K1
ARHGAP31	K1
ARHGAP32	K1
ARHGAP33	K5
ARHGAP35	K1
ARHGAP4	K3
ARHGAP42	K7
ARHGAP5	K2
ARHGAP5-AS1	K2
ARHGAP6	K3
ARHGAP8	K6
ARHGAP9	K3
ARHGDIA	K3
ARHGDIB	K2
ARHGEF1	K4
ARHGEF10	K1
ARHGEF11	K1
ARHGEF12	K7
ARHGEF17	K1
ARHGEF18	K5
ARHGEF19	K5
ARHGEF2	K7
ARHGEF26	K1
ARHGEF3	K1
ARHGEF37	K6
ARHGEF38	K1
ARHGEF39	K5
ARHGEF40	K1
ARHGEF6	K2
ARHGEF7	K2
ARHGEF9	K2
ARID1A	K1
ARID1B	K1
ARID2	K2
ARID3A	K7
ARID3B	K7
ARID4A	K1
ARID4B	K7
ARID5A	K5
ARID5B	K1
ARIH1	K1
ARIH2	K6
ARIH2OS	K6
ARL1	K4
ARL10	K1
ARL11	K3
ARL13B	K7
ARL14EP	K2
ARL15	K2
ARL16	K5
ARL17A	K1
ARL17B	K3
ARL2	K4
ARL3	K4
ARL4A	K7
ARL4C	K1
ARL4D	K3
ARL5B	K1
ARL5B-AS1	K3
ARL6	K2
ARL6IP1	K6
ARL6IP4	K5
ARL6IP5	K2
ARL6IP6	K4
ARL8A	K2
ARL8B	K5
ARL9	K2
ARMC1	K4
ARMC10	K2
ARMC2	K2
ARMC5	K3
ARMC6	K5
ARMC7	K5
ARMC8	K5
ARMC9	K4
ARMCX1	K1
ARMCX3	K2
ARMCX4	K1
ARMCX5	K2
ARMCX6	K4
ARNT	K4
ARNT2	K1
ARNTL	K4
ARNTL2	K1
ARPC1A	K5
ARPC1B	K4
ARPC2	K2
ARPC3	K5
ARPC4	K5
ARPC5	K4
ARPC5L	K4
ARPP19	K2
ARR3	K1
ARRB1	K2
ARRB2	K7
ARRDC1	K5
ARRDC2	K7
ARRDC3	K7
ARRDC4	K1
ARSA	K5
ARSB	K2
ARSD	K1
ARSG	K6
ARSK	K2
ART4	K6
ARV1	K4
ARVCF	K6
ASAH1	K7
ASAH2B	K4
ASAP1	K1
ASAP2	K1
ASAP3	K7
ASB1	K5
ASB13	K2
ASB14	K1
ASB16-AS1	K5
ASB6	K6
ASB7	K7
ASB8	K6
ASB9	K2
ASCC1	K2
ASCC2	K6
ASCC3	K2
ASF1A	K6
ASF1B	K5
ASGR1	K3
ASH1L	K1
ASH2L	K4
ASIC4	K6
ASL	K5
ASMTL	K4
ASMTL-AS1	K6
ASNA1	K6
ASNS	K5
ASNSD1	K7
ASPH	K1
ASPHD2	K6
ASPM	K4
ASPN	K4
ASPRV1	K7
ASPSCR1	K6
ASRGL1	K4
ASS1	K5
ASTE1	K4
ASTN2	K5
ASUN	K4
ASXL1	K1
ASXL2	K2
ATAD1	K4
ATAD2	K4
ATAD2B	K2
ATAD3A	K5
ATAD3B	K5
ATAD3C	K5
ATAD5	K4
ATAT1	K4
ATE1	K2
ATF1	K4
ATF2	K2
ATF3	K7
ATF4	K5
ATF5	K5
ATF6	K2
ATF6B	K4
ATF7	K1
ATF7IP	K1
ATF7IP2	K4
ATG10	K2
ATG12	K6
ATG13	K6
ATG14	K7
ATG16L1	K5
ATG16L2	K3
ATG2A	K6
ATG2B	K7
ATG3	K6
ATG4A	K6
ATG4B	K6
ATG4C	K4
ATG4D	K6
ATG5	K5
ATG7	K4
ATG9A	K6
ATG9B	K1
ATHL1	K3
ATIC	K4
ATL1	K1
ATL2	K4
ATL3	K2
ATM	K2
ATMIN	K1
ATN1	K2
ATOX1	K4
ATP10D	K1
ATP11A	K4
ATP11A-AS1	K5
ATP11B	K2
ATP11C	K2
ATP13A1	K4
ATP13A2	K4
ATP13A3	K2
ATP13A4	K3
ATP1A1	K2
ATP1A3	K1
ATP1A4	K7
ATP1B1	K1
ATP1B2	K6
ATP1B3	K5
ATP2A1	K3
ATP2A2	K2
ATP2A3	K2
ATP2B1	K1
ATP2B4	K2
ATP2C1	K2
ATP5A1	K4
ATP5B	K4
ATP5C1	K4
ATP5E	K6
ATP5EP2	K6
ATP5F1	K4
ATP5G1	K4
ATP5G2	K4
ATP5G3	K4
ATP5H	K5
ATP5I	K5
ATP5J	K4
ATP5L	K5
ATP5O	K4
ATP5S	K7
ATP5SL	K5
ATP6AP1	K5
ATP6AP1L	K4
ATP6AP2	K5
ATP6V0A1	K6
ATP6V0A2	K1
ATP6V0B	K6
ATP6V0C	K1
ATP6V0D1	K6
ATP6V0E1	K6
ATP6V0E2	K5
ATP6V0E2-AS1	K3
ATP6V1A	K6
ATP6V1B1	K7
ATP6V1B2	K6
ATP6V1C1	K6
ATP6V1C2	K2
ATP6V1D	K6
ATP6V1E1	K6
ATP6V1E2	K2
ATP6V1F	K5
ATP6V1G1	K2
ATP6V1G2	K1
ATP6V1H	K5
ATP7A	K6
ATP7B	K5
ATP8A1	K1
ATP8B1	K1
ATP8B2	K1
ATP8B3	K5
ATP8B4	K2
ATP9A	K1
ATP9B	K2
ATPAF1	K2
ATPAF2	K5
ATPIF1	K5
ATR	K2
ATRAID	K4
ATRIP	K4
ATRN	K2
ATRX	K1
ATXN1	K1
ATXN10	K4
ATXN1L	K7
ATXN2L	K1
ATXN3	K1
ATXN7	K1
ATXN7L1	K2
ATXN7L2	K3
ATXN7L3	K7
ATXN7L3B	K2
AUH	K1
AUNIP	K5
AUP1	K5
AURKA	K5
AURKAIP1	K5
AURKB	K5
AUTS2	K1
AVEN	K1
AVIL	K1
AVPI1	K5
AXIN1	K5
AXL	K3
AZGP1	K4
AZI1	K5
AZI2	K5
AZIN1	K4
AZU1	K3
B2M	K3
B3GALNT1	K2
B3GALNT2	K2
B3GALT2	K1
B3GALT4	K3
B3GALT6	K2
B3GALTL	K6
B3GAT3	K5
B3GNT1	K4
B3GNT4	K1
B3GNT5	K2
B3GNT7	K4
B3GNT8	K7
B3GNTL1	K4
B4GALNT3	K6
B4GALT1	K1
B4GALT2	K4
B4GALT3	K6
B4GALT4	K2
B4GALT5	K1
B4GALT6	K1
B4GALT7	K5
B9D1	K5
B9D2	K3
BAALC	K1
BAAT	K5
BABAM1	K6
BACE1	K1
BACE2	K2
BACH1	K7
BACH1-AS1	K7
BACH1-IT2	K7
BACH2	K1
BAD	K6
BAG1	K7
BAG2	K4
BAG3	K1
BAG4	K4
BAG5	K2
BAG6	K7
BAHD1	K4
BAIAP2	K5
BAIAP2-AS1	K1
BAIAP2L1	K1
BAIAP2L2	K6
BAIAP3	K7
BAK1	K5
BANF1	K4
BANK1	K2
BANP	K6
BAP1	K6
BARD1	K4
BASP1	K1
BATF	K3
BATF3	K3
BAX	K6
BAZ1A	K2
BAZ1B	K2
BAZ2A	K7
BAZ2B	K1
BBC3	K6
BBIP1	K1
BBS1	K3
BBS10	K2
BBS12	K6
BBS2	K2
BBS4	K5
BBS5	K2
BBS7	K4
BBS9	K1
BBX	K1
BCAM	K6
BCAN	K5
BCAP29	K4
BCAP31	K5
BCAR1	K6
BCAR3	K1
BCAS1	K6
BCAS2	K4
BCAS3	K1
BCAS4	K2
BCAT1	K2
BCAT2	K4
BCCIP	K4
BCDIN3D	K4
BCDIN3D-AS1	K2
BCKDHA	K5
BCKDHB	K2
BCKDK	K5
BCL10	K5
BCL11A	K4
BCL2	K1
BCL2A1	K1
BCL2L1	K6
BCL2L11	K6
BCL2L12	K5
BCL2L13	K7
BCL2L15	K5
BCL2L2	K2
BCL3	K1
BCL6	K7
BCL7A	K2
BCL7C	K2
BCL9	K2
BCL9L	K1
BCLAF1	K2
BCO2	K3
BCOR	K2
BCORL1	K2
BCR	K2
BCS1L	K4
BDH1	K4
BDH2	K2
BDKRB2	K7
BDP1	K2
BECN1	K6
BEGAIN	K3
BEND3	K2
BEND4	K1
BEND6	K1
BEND7	K1
BEST1	K7
BEST2	K7
BEST3	K6
BET1	K6
BET1L	K3
BEX1	K1
BEX2	K1
BEX4	K2
BEX5	K1
BFAR	K4
BFSP1	K2
BGLAP	K6
BHLHB9	K1
BHLHE40	K2
BHLHE40-AS1	K1
BICC1	K1
BICD1	K1
BICD2	K2
BID	K4
BIK	K3
BIN1	K1
BIN2	K2
BIN3	K5
BIRC2	K7
BIRC3	K1
BIRC5	K5
BIRC6	K2
BIVM	K2
BLCAP	K3
BLM	K4
BLMH	K4
BLOC1S1	K6
BLOC1S2	K6
BLOC1S3	K5
BLOC1S4	K1
BLOC1S5	K4
BLOC1S6	K1
BLVRA	K4
BLVRB	K6
BLZF1	K4
BMF	K1
BMI1	K2
BMP1	K3
BMP2K	K1
BMP6	K1
BMP8B	K2
BMPR1A	K4
BMPR2	K1
BMS1	K2
BMX	K3
BNIP1	K5
BNIP3	K4
BNIP3L	K7
BNIPL	K5
BOC	K7
BOD1	K1
BOD1L1	K1
BOLA1	K5
BOLA2B	K4
BOLA3	K5
BOLA3-AS1	K2
BOP1	K5
BORA	K5
BPGM	K6
BPHL	K4
BPIFC	K3
BPNT1	K4
BPTF	K1
BRAF	K1
BRAP	K7
BRAT1	K5
BRCA1	K4
BRCA2	K4
BRCC3	K4
BRD1	K4
BRD2	K3
BRD3	K4
BRD4	K1
BRD7	K1
BRD8	K6
BRE	K2
BRF1	K4
BRI3	K1
BRI3BP	K4
BRICD5	K5
BRIP1	K2
BRIX1	K4
BRK1	K4
BRMS1	K5
BRMS1L	K4
BROX	K6
BRPF1	K1
BRPF3	K7
BRSK1	K7
BRSK2	K7
BRWD3	K1
BSCL2	K5
BSDC1	K6
BSG	K6
BSN	K1
BSPRY	K1
BST1	K1
BST2	K3
BTAF1	K4
BTBD10	K5
BTBD11	K1
BTBD19	K3
BTBD2	K2
BTBD3	K2
BTBD6	K2
BTBD7	K1
BTBD9	K2
BTF3	K3
BTF3L4	K2
BTG1	K1
BTG2	K7
BTG3	K5
BTK	K5
BTLA	K7
BTN2A1	K3
BTN2A2	K2
BTN3A1	K2
BTN3A2	K2
BTN3A3	K2
BTRC	K5
BUB1	K5
BUB1B	K5
BUB3	K5
