Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
Cancer_gene_neighborhoods	GNF2_NPM1	70	27	9.15505843797e-07	1.69965650131e-05	SNRPE:GTPBP4:NOLC1:EIF3A:RPS25:HNRNPC:POLR3E:KARS:NOL11:RPL17:LSM7:FBL:SNRPD2:LRPPRC:SSB:NCL:CCT8:GNL3:DIMT1:BTF3:HSPA4:NPM1:DNAJC2:SSBP1:RPL7:KIAA0020:DKC1	http://www.broadinstitute.org/gsea/msigdb/cards/GNF2_NPM1
Cancer_gene_neighborhoods	MORF_PPP1CA	166	50	9.68168035005e-07	1.72253229561e-05	PARK7:UBAP2L:SSR2:SNRPE:GANAB:POLR2G:BANF1:UBE4A:ARF3:COX6A1:TMED2:HNRNPC:RPL36AL:PSMA3:TUFM:PSMD7:CFDP1:KARS:MBTPS1:UTP18:DDX49:TMEM147:PSMD8:SNRPD2:PRMT1:PPP2R1A:STARD7:COX5B:HSPD1:ATIC:DNPEP:EIF4E2:CNBP:PDCD6:HARS2:CANX:PSMB1:GGCT:ARPC1B:BUD31:LYPLA1:YWHAZ:PUF60:STOML2:POLE3:URM1:SET:UBA1:NDUFA1:BCAP31	http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PPP1CA
Cancer_gene_neighborhoods	MORF_HDAC2	273	73	1.05896440236e-06	1.80871119923e-05	DFFA:SDHB:NUDC:DNAJC8:EIF3I:YARS:TRAPPC3:PPT1:ZZZ3:SNRPE:HNRNPU-AS1:HNRNPU:BMS1:VDAC2:ZNF259:HSPA8:PMEL:PWP1:SART3:UNG:MLEC:CAMKK2:NUFIP1:AHSA1:NDUFAF1:TFAP4:TUFM:POLR2C:DDX19B:DDX19A:KARS:PRPF8:POLR2A:AATF:RNF126:SGTA:ILF3:CHERP:PRPF31:CAD:GPN1:CEBPZ:LRPPRC:MCFD2:CCT4:DGUOK:STARD7:DDX18:SSB:HSPE1:BZW1:ATP5J:UBE2E1:CNBP:SERP1:NCBP2:RCHY1:PAPSS1:DCTD:SDHA:KIAA0947:PPP2CA:ETF1:HSPA9:HMGN4:AIMP2:POM121:SSBP1:LYPLA1:POLE3:SET:EIF1AX:TREX2:DKC1	http://www.broadinstitute.org/gsea/msigdb/cards/MORF_HDAC2
Cancer_gene_neighborhoods	MORF_G22P1	167	50	1.18260190494e-06	1.94219620542e-05	PARK7:SDHB:EIF3I:CCT3:SNRPE:TOMM20:VDAC2:EIF4G2:GANAB:FAU:CHD4:PHB2:STRAP:NACA:HNRNPC:UBE2I:RNPS1:TUFM:KARS:EIF4A1:USP22:ZNF207:ATP5G1:LSM7:EIF3G:CDC37:DDX49:PSMD8:FBL:SNRPD2:PRMT1:PDIA6:GPN1:STARD7:COX5B:FAM168B:HSPD1:NCL:XRCC6:WDR1:BTF3:TTC1:NPM1:HSP90AB1:TCP1:PSMB1:IMPDH1:PUF60:SET:PGK1	http://www.broadinstitute.org/gsea/msigdb/cards/MORF_G22P1
Cancer_gene_neighborhoods	MORF_HDAC1	251	68	1.39774512121e-06	2.21050802502e-05	PARK7:SDHB:DNAJC8:AK2:TRAPPC3:CAP1:SCAMP3:PRRC2C:SNRPE:HNRNPU-AS1:HNRNPU:VDAC2:GANAB:SDHD:SDHD:CHD4:PHB2:ARF3:NACA:UBE2N:COX6A1:HNRNPC:CSK:RNPS1:TUFM:DDX19A:KARS:PRPF8:EIF4A1:ATP5G1:SF3A2:LSM7:EIF3G:CDC37:ILF3:PKN1:CHERP:DDX49:MRPS12:SNRPD2:PPP2R1A:PDIA6:GPN1:TEX261:STARD7:CIAO1:COX5B:FAM168B:HSPD1:NCL:ATP5J:XRCC6:WDR1:PAPSS1:SDHA:BTF3:TTC1:TMED9:CANX:TCP1:PSMB1:IMPDH1:LYPLA1:YWHAZ:PUF60:POLE3:SET:EIF1AX:PGK1:DKC1	http://www.broadinstitute.org/gsea/msigdb/cards/MORF_HDAC1
Cancer_gene_neighborhoods	MORF_SKP1A	201	57	1.78664137174e-06	2.7246280919e-05	PARK7:TRAPPC3:UBAP2L:SSR2:PRRC2C:SNRPE:BANF1:UBE4A:ARF3:NACA:UBE2N:COX6A1:TMED2:HNRNPC:RPL36AL:PSMA3:BAG5:SNRPA1:PSMD7:CFDP1:KARS:EIF4A1:UTP18:HGS:ILF3:DDX49:PSMD8:PRMT1:PPP2R1A:STARD7:BZW1:DNPEP:EIF4E2:ATP5J:LSS:CNBP:PDCD6:KIF2A:BTF3:HSPA9:HARS2:CANX:PSMB1:GGCT:BUD31:LYPLA1:YWHAZ:PUF60:POLE3:RAB14:URM1:SET:UBA1:COX7B:MORF4L2:NDUFA1:BCAP31	http://www.broadinstitute.org/gsea/msigdb/cards/MORF_SKP1A
Cancer_gene_neighborhoods	MORF_BUB3	272	72	1.86083721217e-06	2.73992237792e-05	PARK7:SRM:SDHB:NUDC:DNAJC8:EIF3I:YARS:AK2:TRAPPC3:PPT1:UBAP2L:SCAMP3:CCT3:SNRPE:HNRNPU-AS1:HNRNPU:VDAC2:GANAB:PHB2:PMEL:UBE2N:HNRNPC:AHSA1:CSK:SNRPA1:RSL1D1:TUFM:DDX19B:KARS:PRPF8:AATF:ATP5G1:SF3A2:LSM7:THOP1:ILF3:CHERP:DDX49:PSMD8:FBL:PPP2R1A:PRPF31:PDIA6:CAD:GPN1:LRPPRC:TEX261:DGUOK:STARD7:SSB:HSPE1:NCL:ATP5J:XRCC6:IMPDH2:SERP1:NCBP2:PAICS:DCTD:SDHA:KIAA0947:HSPA9:TMED9:TCP1:POM121:IMPDH1:SSBP1:LYPLA1:POLE3:SET:EIF1AX:NAA10:DKC1	http://www.broadinstitute.org/gsea/msigdb/cards/MORF_BUB3
Cancer_gene_neighborhoods	MORF_CSNK2B	282	74	1.95985972778e-06	2.78953367921e-05	PARK7:SDHB:EIF3I:TRAPPC3:CAP1:UBAP2L:SCAMP3:CCT3:PRRC2C:SNRPE:VDAC2:GANAB:BANF1:DHCR7:CHD4:PHB2:ARF3:EIF4B:CDK4:COX6A1:HNRNPC:SNRPA1:TBL3:TUFM:DDX19B:KARS:MBTPS1:C1QBP:EIF4A1:ATP5G1:SF3A2:ILF3:CHERP:DDX49:GPI:TMEM147:PSMD8:FBL:SNRPD2:PRMT1:PPP2R1A:PRPF31:EIF2B4:GPN1:DGUOK:STARD7:COX5B:HSPD1:BZW1:ATIC:EIF4E2:ATP5J:LSS:XRCC6:SDHA:PDCD6:KIF2A:HSPA9:RARS:TMED9:NHP2:CANX:ACOT13:PSMB1:GGCT:IMPDH1:SSBP1:LYPLA1:PUF60:URM1:SET:UBA1:BCAP31:NAA10	http://www.broadinstitute.org/gsea/msigdb/cards/MORF_CSNK2B
Cancer_gene_neighborhoods	MORF_ANP32B	195	55	3.13848701856e-06	4.32301276427e-05	PARK7:SSR2:SNRPE:VDAC2:EIF4G2:GANAB:FAU:BANF1:CHD4:PHB2:EIF4B:NACA:COX6A1:RPL21:HNRNPC:RPL36AL:SNRPA1:UBE2I:RNPS1:RSL1D1:TUFM:KARS:EIF4A1:SF3A2:LSM7:EEF2:EIF3G:ILF3:DDX49:PSMD8:FBL:SNRPD2:PPP2R1A:STARD7:COX5B:FAM168B:HSPD1:NCL:XRCC6:CNBP:SDHA:BTF3:NPM1:CANX:HSP90AB1:RPS12:PSMB1:LYPLA1:RPL7:YWHAZ:PUF60:POLE3:URM1:SET:NDUFA1	http://www.broadinstitute.org/gsea/msigdb/cards/MORF_ANP32B
Cancer_gene_neighborhoods	MORF_PSMC2	115	37	3.32640352031e-06	4.43866969741e-05	ZZZ3:PEX11B:RPP38:GTF2H1:BANF1:ARCN1:TMED2:RPL36AL:PSMA3:BAG5:PSMD7:CFDP1:KARS:URI1:PRMT1:DUSP11:BZW1:DNPEP:DPM1:PITPNB:XPC:CNBP:NCBP2:PDCD6:KIF2A:HARS2:CANX:SEC61G:BUD31:PUF60:XPA:SEC61B:URM1:UBA1:MORF4L2:PGRMC1:BCAP31	http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PSMC2
