P1 P2 P3 P4 P5 P6 P7 P8
ENSG00000174197_LINE321_MGA_D_N1 -5.68889760127448 -5.21920775146281 -3.17041628282134 -2.0637547221502 4.05445212299786 7.01690887459293 3.02127161054078 -0.888690446851796
ENSG00000060566_LINE327_CREB3L3_I 3.01724103626381 -5.15498820990995 -6.68531995163756 -8.59315904614406 -3.71404132776553 0.518852353219003 7.62552939858218 8.6497291901798
ENSG00000075426_LINE328_FOSL2_D_N3 -0.265581354274924 2.01566196136042 5.10341306972916 -11.513778335009 -21.2429867439767 -4.82846908621355 13.7619127673707 16.2929947542106
ENSG00000082641_LINE332_NFE2L1_D_N2 -2.23196807270853 -4.22214534644135 -4.03369681841747 -6.15871014340475 -3.43992867800185 2.70072251977322 7.10175661717419 5.57103675428767
ENSG00000092067_LINE336_CEBPE_D_N1 37.4726316140454 -3.23260811140837 -10.0538728079926 -10.9209662809129 -2.01317289635525 -1.29665886803284 0.150636876209185 2.55117547786033
ENSG00000095794_LINE339_CREM_D 3.44616856279742 -5.0344639870856 -6.47635470445548 -7.89424723690428 -2.89565951225755 1.98224896620723 6.79806197244485 6.36460345733145
ENSG00000100219_LINE344_XBP1_D_N4 2.26561027167764 -3.91904073037168 -5.10756673625189 -5.4705684675911 -1.77573025936209 2.15140599241947 5.27027177532216 3.23598974614799
ENSG00000105516_LINE349_DBP_D_N2 20.3990550511092 -3.28115661122372 -8.11879917507683 -7.71149941534266 -1.85175969461895 -0.587139960340482 1.90067016115125 3.99193164788141
ENSG00000107175_LINE352_CREB3_D_N1 3.01724103626381 -5.15498820990995 -6.68531995163756 -8.59315904614406 -3.71404132776553 0.518852353219003 7.62552939858218 8.6497291901798
ENSG00000108924_LINE356_HLF_D_N4 28.0999011673731 -3.38400035099395 -8.69452768946161 -7.74198643370301 0.588642627321471 -2.04142212363108 0.174345420825358 2.59149067318211
ENSG00000112182_LINE360_BACH2_D -3.2616608310988 0.474121132901068 3.13155021186671 -9.9766206533585 -18.1502598560833 -3.31847082443559 11.7332639332297 14.74433387086
ENSG00000115966_LINE362_ATF2_D_N1 14.9849750873988 -2.18785471248668 -4.88481355348577 -5.31907166197707 -2.48787754488574 -1.15407697411633 2.02820263037413 3.89407731067808
ENSG00000116044_LINE367_NFE2L2_D -11.106491011847 -13.7027845486094 -11.5747509074358 -18.3684123224784 -11.2502771589332 10.2982677050898 24.3611416575686 20.9295407979991
ENSG00000118217_LINE369_ATF6_D_N2 1.10463773701584 -4.67281580959938 -4.91771953092239 -5.55068935297512 -1.81434844096596 1.26895336595315 4.81021806641289 5.46089382496939
ENSG00000118260_LINE378_CREB1_D_N5 4.87365969979159 -5.91478148680428 -8.20927333344764 -9.78316588408082 -4.67376610487964 -0.316175197652149 8.48163354599163 10.498346074123
ENSG00000123268_LINE383_ATF1_D 4.77068419706478 -4.75740413561626 -6.75500597360321 -9.20090458492782 -4.46719574822959 0.221542081350205 7.40688252837354 8.1761191844627
ENSG00000123405_LINE390_NFE2_D_N3 -5.54493751520694 -11.7796102403662 -11.3168699669131 -20.5949165049352 -14.1882320601654 7.74781764576599 26.3755302714876 22.3571770927375
ENSG00000123685_LINE392_BATF3_D 2.96790933907051 -4.32552293765843 -5.54897352632077 -7.80208761681518 -3.86566931789059 -0.331473353240514 6.3740045801571 8.7463257910645
ENSG00000125740_LINE393_FOSB_D -1.82546444813944 0.774177327103044 3.84706392313457 -9.27500292290927 -16.6850713214 -2.99652893328697 12.1171870420799 13.4291263976521
ENSG00000128272_LINE397_ATF4_D 19.5582581973417 -6.96358311442089 -9.90926192956345 -8.33593971200734 7.28210457183761 1.13367155976533 -0.0649459242321448 2.6853475973049
ENSG00000129535_LINE398_NRL_D -1.88479608177389 -4.20766139620274 -3.93418144382157 -5.57142728876421 -1.11822495160772 3.89470444689514 6.36973742601725 4.04946403121743
ENSG00000130522_LINE411_JUND_D_N6 -2.30546570659253 0.655167777440205 3.96856152029196 -11.8113238832713 -22.7718895577396 -3.647102142172 14.8839380437254 17.9617132660367
ENSG00000140044_LINE415_JDP2_D_N2 0.859610014719655 3.88224043801918 6.62162086756509 -9.04559067131562 -21.2983640621534 -6.85119059475475 10.6515811230571 15.594786323045
ENSG00000143578_LINE419_CREB3L4_I 3.01724103626381 -5.15498820990995 -6.68531995163756 -8.59315904614406 -3.71404132776553 0.518852353219003 7.62552939858218 8.6497291901798
ENSG00000146592_LINE421_CREB5_I 5.42438703281008 -5.39021947995004 -7.36502037457393 -7.98602505785921 -2.17782264755924 0.275947388870559 6.69390807213741 8.28929354329931
ENSG00000153879_LINE428_CEBPG_D_N2 33.3092860299126 -3.71556498410293 -9.79521851113889 -9.67009676462855 -2.49185351847349 -1.16419104196139 0.778355047397617 3.91118764700476
ENSG00000156127_LINE435_BATF_D_N1 1.87723048378521 0.386976243270911 1.22942394894539 -6.11458952217906 -10.8590379794757 -1.97217167195719 7.07784787430232 8.49477635411001
ENSG00000156273_LINE437_BACH1_D_N1 -1.28065145145937 1.23866824007657 4.19255127357291 -9.11660910020422 -20.255236831046 -4.0114030848935 10.915285561193 14.7044704110627
ENSG00000157613_LINE447_CREB3L1_D_N3 1.21018070214736 -4.33318733833986 -4.52988175157105 -5.23127618396982 -2.54008876252224 1.05342449888906 6.24248319140461 4.83981486257759
ENSG00000162772_LINE455_ATF3_D_N5 0.85843284175577 -7.90953491537935 -9.25709307340261 -9.34360747834882 -4.31066042487792 -0.213017728126811 10.6399224069499 12.2550612395259
ENSG00000165030_LINE463_NFIL3_D_N4 18.0720838418212 -2.87862515366625 -5.3388911542548 -4.94589564671184 0.488612364851891 -1.20657854026834 0.209415430785269 2.90197295361724
ENSG00000167074_LINE470_TEF_D_N3 26.0516386947523 -1.07275219617567 -6.8413571548378 -7.2286672614339 -2.5304235201843 -1.31944787824289 -0.38325971061228 1.27340364574786
ENSG00000168468_LINE473_CR7538031_I 3.69694589215706 -2.1221365825778 -3.73500513237576 -4.31841918376738 -2.6280113839723 -0.0176564327354208 3.74741483739362 3.29463015999543
ENSG00000169136_LINE475_ATF5_D 5.93526045110724 0.86866642788294 -2.04042733452868 -2.30792306080782 1.57940754690044 0.136190705570616 -1.88068167389874 -0.754685768088007
ENSG00000170345_LINE476_FOS_D_N4 0.275232772761496 2.01796624370305 5.1048852561711 -13.0351277443904 -23.1152949401864 -5.57301156154799 15.5776507521287 19.4793262473583
ENSG00000170653_LINE486_ATF7_D 3.14367081772395 -5.74940918080075 -7.3950043713377 -7.32750765781461 -2.51461593236339 0.60644045705148 7.57258701881665 8.21801390523463
ENSG00000171223_LINE487_JUNB_D_N3 -0.885795953273144 1.386684661232 4.59224266159226 -12.0126209023232 -22.0365750095687 -4.2958895198322 14.53653629857 17.7228656504725
ENSG00000172216_LINE498_CEBPB_D_N8 36.6987610792004 -7.35561076997255 -14.7777143813595 -11.6340876750299 0.296417434193227 -0.0692627331290859 0.702463637859133 3.02368485510646
ENSG00000175197_LINE504_DDIT3_D 0.984691978160946 -0.393640043371394 -0.00171685399871468 -0.971354063708561 0.130027301996706 -0.254158828230572 0.532098693860551 -0.112663522318781
ENSG00000175592_LINE505_FOSL1_D_N3 -1.15216066911646 0.674595522680518 4.07661144336703 -13.7942245840495 -24.0329690686859 -4.33262669378296 16.2287645386948 18.7866375293851
ENSG00000177606_LINE517_JUN_D_N5 0.518109723194804 2.02593353495245 4.95021388163915 -11.6804698458207 -21.8914494265134 -5.16032816616853 13.7148800179041 18.0288326080243
ENSG00000178573_LINE525_MAF_D 0.3858440999507 -5.94769474304645 -5.47406350418248 -6.67063826370224 -2.96328811759834 5.52986013158152 7.75398737320527 4.23861065275792
ENSG00000182158_LINE526_CREB3L2_I 2.15534032400363 -0.438553500282882 -0.754162155741469 -1.91107783123026 -5.84199736826876 -2.82388165093707 3.99032474811945 4.70209903439128
ENSG00000182759_LINE530_MAFA_D -0.683326206608593 -0.394727249145498 -0.73973511111775 -1.73867142866938 -0.414846662035334 0.791397631176087 1.46653894912502 1.09221785381714
ENSG00000185022_LINE534_MAFF_D_N2 -4.65060093499713 -9.94353806764269 -9.41498105218635 -14.1765553311565 -6.7814598293618 7.19828305357801 17.8370366714679 14.425028896059
ENSG00000197063_LINE538_MAFG_D_N1 -2.81610677694779 -9.56864677648086 -9.96517956922044 -14.0993733381881 -2.55261132373905 7.1375590774449 16.8581010459563 11.0415664615266
ENSG00000198517_LINE543_MAFK_D_N5 -3.53162222048602 -7.29346274240531 -6.80142352801076 -11.8510594734719 -5.96014593221673 5.3964448175647 14.4506313033093 11.2618940058593
ENSG00000204103_LINE553_MAFB_D -1.82327190633062 -7.68419855774928 -5.85967552589978 -6.37052245737315 -1.5498691955081 5.12738054222443 8.02416676251652 4.13875341067211
ENSG00000213676_LINE554_ATF6B_I 3.69694589215706 -2.1221365825778 -3.73500513237576 -4.31841918376738 -2.6280113839723 -0.0176564327354208 3.74741483739362 3.29463015999543
ENSG00000221869_LINE558_CEBPD_D_N2 39.8127450353769 -7.28486396597725 -13.6366983694368 -12.5537155324798 -0.591246957807869 0.237979848340709 1.13905318029691 3.55101009369139
